dataset,n,date,constant_multiplier,largest_h_minor_model,smallest_h_separator,separator_size,max_bfs_depth,iterations,first_condition_calls,line11_calls,line11_median_returns,time_elapsed_seconds,search_seconds,final_run_seconds,peak_rss_mb
datasets/social/musae_facebook_edges.csv,22470,2026-07-17,10,107,108,4569,24,109,109,0,0,3622.29,3190.876,431.413,286.6
datasets/social/musae_facebook_edges.csv,22470,2026-07-17,50,107,108,4569,24,109,109,0,0,3565.43,3203.657,361.772,282.5
datasets/social/musae_facebook_edges.csv,22470,2026-07-17,20,107,108,4569,24,109,109,0,0,3570.875,3209.127,361.747,294.1
datasets/social/musae_facebook_edges.csv,22470,2026-07-17,100,107,108,4569,24,109,109,0,0,3540.925,3187.781,353.143,297.4
datasets/road-roadNet-PA.csv,1087562,2026-07-17,1,4,5,1955,890,22,22,0,0,3809.34,2917.788,891.541,950.2
datasets/road-roadNet-PA.csv,1087562,2026-07-17,2,4,5,1955,890,22,22,0,0,3839.117,2939.883,899.207,951.8
datasets/road-roadNet-PA.csv,1087562,2026-07-17,10,4,5,1955,890,22,22,0,0,3852.697,2950.855,901.821,950.2
datasets/road-roadNet-PA.csv,1087562,2026-07-17,100,4,5,1955,890,22,22,0,0,3859.159,2957.192,901.953,949.5
datasets/road-roadNet-PA.csv,1087562,2026-07-17,20,4,5,1955,890,22,22,0,0,3878.316,2972.658,905.655,936.5
datasets/road-roadNet-PA.csv,1087562,2026-07-17,50,4,5,1955,890,22,22,0,0,3892.878,2976.389,916.462,949.4
